bin,DPPC,W,CHOL,Tail,Gli,Fosf,ZNPC,Lipid,DPPC_smooth,W_smooth,CHOL_smooth,Tail_smooth,Gli_smooth,Fosf_smooth,ZNPC_smooth,Lipid_smooth
-15.141554715718556,1.0147748754100951,0.03896253103733517,0.0,0.6705661511431467,0.15926148533991077,0.01163094643613548,0.0,1.0147748754100951,1.0774559185525208,0.07114739166663876,0.0,0.5293739694305938,0.2526036201233309,0.03532199258550818,0.0,1.0774559185525208
-14.641554715718556,0.9856254900488576,0.028951335422879875,0.0,0.7264841559564688,0.11893789888708657,0.006750658478100778,0.0,0.9856254900488576,1.0471458720793891,0.05495115579122752,0.0,0.5986351056208301,0.20756877540226082,0.02282681844290312,0.0,1.0471458720793891
-14.141554715718556,0.9618352170716722,0.021034440722347347,0.0,0.7728080822536814,0.08606099678245235,0.0037700821669730358,0.0,0.9618352170716722,1.017358818195739,0.041810344449364364,0.0,0.6617768516939122,0.16436387782546683,0.014355819244915006,0.0,1.017358818195739
-13.641554715718556,0.9431093706291047,0.014839327867397658,0.0,0.8098565361355466,0.06025708425673047,0.0019448545088683977,0.0,0.9431093706291047,0.9902649798550881,0.031155739941016468,0.0,0.7171570631520634,0.12577954278614087,0.008684817774471868,0.0,0.9902649798550881
-13.141554715718556,0.9268456300338662,0.010231780627431707,0.0,0.8363866340599474,0.04026140858325528,0.0009672651194114646,0.0,0.9268456300338662,0.966438116638719,0.02280388313547835,0.0,0.7632203119097583,0.09295577476988709,0.005012761341897831,0.0,0.966438116638719
-12.641554715718556,0.9146766990321502,0.006939698063311033,0.0,0.8556908114360905,0.02576306529232047,0.0004898852043148849,0.0,0.9146766990321502,0.9464184813631302,0.016399316540673524,0.0,0.800245243968347,0.06625609076036904,0.0027845490955337123,0.0,0.9464184813631302
-12.141554715718556,0.9052188315020434,0.004478423370687707,0.0,0.86811558878137,0.01594231667986347,0.00019806416240297046,0.0,0.9052188315020434,0.9303371496537673,0.01150473413023509,0.0,0.8285715305333271,0.04565697431892441,0.0014740302323941507,0.0,0.9303371496537673
-11.641554715718556,0.8976734569688227,0.0028952128676521284,0.0,0.8753169400156277,0.009507425532412522,7.412669694933242e-05,0.0,0.8976734569688227,0.9175047976331975,0.007876888559296047,0.0,0.8490733020857164,0.030346260068916442,0.00073483913838941,0.0,0.9175047976331975
-11.141554715718556,0.8911232845922891,0.0017428356528586596,0.0,0.8778750360913833,0.005381504405062864,4.024672770710794e-05,0.0,0.8911232845922891,0.9071075804258344,0.005257590116388247,0.0,0.8626770020768838,0.01937114409858292,0.00035391758215715205,0.0,0.9071075804258344
-10.641554715718556,0.8847578167361195,0.0010111229199626238,0.0,0.8776570198708183,0.003012438064579786,7.0336022567217276e-06,0.0,0.8847578167361195,0.898690017766285,0.0034134585748944305,0.0,0.8709310792390579,0.011921349994847823,0.00016187127872620348,0.0,0.898690017766285
