frames_z,transf_z_angle_deg,angles_2
95,88.26388905274919,62.47000436230775
96,60.91957698450866,71.29728651985215
97,66.42844448303991,74.09007480643477
98,60.805361407764565,74.32498003499268
99,59.68566382503209,71.88834812086242
100,54.53427198526538,72.53490308315816
101,59.26651287829762,62.67848832443978
102,45.17910734918826,81.90435119589894
103,46.38960068846502,70.13070796861356
104,51.94574823801734,62.6362377217975
105,51.4884540093274,65.12039483323393
106,53.04236961575701,71.91827629544305
107,45.2639818469876,73.61108214131701
108,46.26248055176769,80.25938419279362
109,43.90126120538068,82.75207112330274
110,41.11443051715069,71.79187485380407
111,46.19302000024874,78.02992599533005
112,49.282355634020135,72.02811715615364
113,46.96131005141837,71.26340421743583
114,56.77708969876744,79.77462747971765
115,58.495927142173,84.3612900409519
116,53.94772379023691,80.14561761611851
117,60.79020708427106,71.14226795815561
118,64.33163176206739,72.12883867314801
119,49.675433596775086,74.53776822726518
120,57.9208939175925,81.56037194375844
121,54.59262691132294,73.21312699865857
122,48.80689251907873,72.4184969551674
123,59.37073688072738,81.22195620193064
124,54.621598218863255,80.73683582524772
125,53.84377192727266,77.28357663944143
126,60.68035877138578,79.29765109369173
127,66.98905913553712,71.12571357396077
128,64.53856287837209,75.2676879920848
129,53.60388188965375,74.44505186795777
130,52.52002338476718,80.18791598264197
131,55.63666924886562,77.94089246923104
132,51.30131347659204,84.55667180972824
133,50.78510816289724,86.4208573599216
134,51.47008530670162,86.38903542615333
135,46.68203088390165,87.46877796051696
136,57.68008380413741,81.46612578639376
137,58.859756828198286,85.04837260149904
138,53.93066185040527,80.90371473982837
139,54.14386876120604,86.707530111121
140,61.22689830814632,89.11505505857627
141,73.02414118296542,87.30683809766191
142,87.98541520061242,80.58438256331905
143,60.69065477681129,88.38046559563462
144,58.344602692152016,84.76775561591957
145,52.587491103865645,89.55570276081103
146,57.98187751814279,86.36556096980048
147,61.03489427328917,86.76581377948042
148,63.19298789881032,81.54136125030185
149,70.09442438262377,79.19133439601607
150,80.78232839733226,74.98567702894454
151,77.92325620259776,74.09331163039064
152,73.60429811215865,84.17629333181767
153,67.49163551350908,80.70192308507869
154,61.73503333025911,75.20092601155413
155,61.78330409332522,70.68728195533639
156,70.04805354405354,85.96050905873294
157,82.9025626233448,88.26779770477249
158,74.7932444178144,83.5647495510544
159,66.19067194342263,88.13492697280047
160,68.243525954203,89.87653987296267
161,57.50736728003822,78.11595507916338
162,59.08583182756247,85.37219444138302
163,70.3722273316541,86.2664310701692
164,70.81434008929274,89.40939524969959
165,64.03189302033074,88.98644023307465
166,61.57217833858334,87.47516036715395
167,54.8202003560396,87.54549895414812
168,59.10021972424689,81.74459328749735
169,66.74984744261225,75.87464846140223
170,55.58382488468497,76.87308099782084
171,61.723986207734725,81.57207481499218
172,62.21770738938201,75.97580081894361
173,52.56037908895935,73.07205970274381
174,63.7974169980533,73.75490109737483
175,60.03430588922215,73.59457852643212
176,56.02372206775479,68.28650344279056
177,57.32338280958818,73.81249839933173
178,55.58504262829239,68.25889097445166
179,60.361143365672405,87.94205525745491
180,61.81814139752392,86.069065920033
181,60.27279714565551,87.97776200018875
182,61.00251036235894,81.70649230555154
183,59.800599199192334,81.57710834753205
184,58.6061018968202,83.1793855867499
185,62.727329970964185,89.14388765474106
186,57.3360650089023,89.86939841238099
187,64.00076782458936,70.26625963078688
188,63.6337438622197,73.40230724511179
189,60.88851028206812,69.71785156108275
190,58.94121214583415,83.08900412193114
191,58.55071139297395,84.59623607117621
192,61.442018070887386,78.64778587599996
193,57.71536848725874,68.99922447797486
194,56.74303601393577,64.35651894513168
195,71.0053645348017,63.94177475030369
196,62.91870118780246,75.43073260364044
197,66.23999535970403,76.66548135584769
198,64.28086240618576,72.33711610748138
199,62.688665468480814,73.29109327000825
200,72.69699625605816,66.6838496591534
201,64.49030775438713,64.58255866940388
202,55.9390379907869,68.2693119864615
203,62.16268808479904,73.7544119932085
204,70.334080393406,60.50443940378668
205,75.31448674478756,63.7848945565092
206,79.86230291499692,62.29820798116634
207,89.83111478682638,57.34020676594632
208,85.80270260487019,52.87369534864591
