frames_z,average_z,average_P_down,average_P_up
254,12.623050560385494,18.865584442328295,-18.466545679650434
255,13.642393609751828,17.762842162030893,-18.927482523470513
256,15.882639974918007,19.168408749568624,-19.0168386657675
257,16.533909839132555,19.069622329871784,-17.504957963480678
258,14.149386114003704,18.43725727877742,-18.353383495217052
259,17.712504166823166,18.839353463554197,-18.690087635638708
260,19.30019694108229,18.115573860903027,-19.036781344937786
261,9.335211794141316,17.391438846065885,-19.87440784014684
262,13.552423534971297,16.864379759350907,-18.308460317968816
263,12.247881109064274,18.794888397540838,-19.59571335993291
264,15.620768106900726,17.357957238732318,-17.541055006334968
265,16.70585056520858,17.26732865080816,-19.091942075494227
266,15.198432922363281,18.3225769340728,-18.887227379161303
267,13.905453537449695,16.29237347555389,-18.687178209725083
268,16.72196137671377,17.261533364054717,-18.581666255110502
269,15.20394623447472,16.433848375697394,-19.48746255171403
270,13.838088820962348,17.211140685874906,-19.52700094195778
271,15.30573620515711,18.086049376610973,-19.694825967975763
272,14.339858736310688,17.6022397214295,-18.72094891977964
273,13.976229878215044,18.107473660336296,-18.07270727209171
274,8.724830890523975,17.934927759878622,-19.423229533807135
275,18.099298965099244,17.590784205562958,-18.879811929034545
276,12.38705945482441,17.368106284369045,-18.775047783201313
277,20.370465123376178,17.183044968517077,-18.40921313568028
278,13.256604176647258,17.65935480497528,-18.410163580419727
279,13.362984038235851,18.295912856877703,-17.437876111020472
280,15.391253198896138,18.27240216104216,-16.428530011013045
281,14.152549594056374,18.169560951333622,-19.010167347899387
282,15.566900187525256,18.50250649619389,-18.82986347145296
283,15.996986025855655,17.867392910448032,-18.810075763621747
284,18.792747273164636,18.411226760228168,-18.462177540842987
285,14.506177229039807,18.21328661837953,-19.556119371131647
286,12.165151178836823,17.697898151794988,-19.446234648157905
287,14.917014339513948,17.736085687869164,-18.240057220507875
288,13.68300253550212,17.931074714859207,-18.707052012976913
289,13.36656540632248,17.314523277337006,-19.97846428556756
290,11.315475391891766,17.532791216949985,-18.37595484388894
291,12.299339209662548,17.811197599624297,-18.673955022694912
292,16.170908771861683,17.828969790481075,-18.157786297185517
293,19.525533067419175,18.2114178649526,-17.94206296065631
294,12.388719193478849,18.162961538994235,-18.21877145286414
295,10.20340258009891,19.061547347225204,-18.75742147988703
296,7.741505460919072,17.004616076284368,-18.51250300919265
297,10.0092008972168,18.04298988719864,-17.831800204403454
298,8.437693669245789,16.335616261039412,-18.05951331826642
299,8.518500804901123,17.598161795477502,-18.204664461098083
300,10.05071376618885,17.284914673346375,-18.011856324983754
301,8.805090778278853,16.16994356311768,-17.613095362903827
302,9.571777712914255,16.53983538234883,-17.428352952271144
303,14.223750472068787,17.45091485848086,-18.210185354287656
304,16.24884862166185,17.567363497483154,-17.702849796979834
305,16.251589254899457,19.080878214768084,-18.661357452937903
306,15.1075552198622,18.122091180338572,-17.83373718170147
307,6.234064716403765,19.006203465254853,-18.525714149384275
308,11.511700324292455,17.255254075912795,-19.377375771863555
309,14.019595947265628,17.688880620812416,-18.269290807967522
310,8.67213052218078,18.021483396507037,-18.785743895436248
311,11.327457751257938,18.996241867340494,-18.542002254955673
312,14.388044771940812,18.193751146663537,-18.13167067944741
313,13.285306190957826,17.953243276614852,-18.619587254665298
314,10.310999450683596,17.68215879978129,-18.840507820549142
315,13.311893397364123,17.777845244252862,-17.8901162112497
316,14.975816859755405,16.76191174688392,-18.07698087064094
317,10.935997009277344,18.023552670748664,-18.699550180862563
318,15.24538561014029,17.638383898527767,-18.34903645882288
319,12.779667663574216,15.893243598099003,-18.546500054971506
320,9.680941527744508,16.62437089725894,-18.75061410547557
321,9.286998672485353,17.534651641478522,-18.060361043475684
322,12.177736822164285,16.495412134975492,-18.73424269055401
323,13.815959443437293,16.941291069782682,-17.81732768327073
324,15.441382309486123,17.648521809963736,-18.105514424347177
325,19.660870344742484,17.386588530791386,-17.934616480487477
326,15.420514522454674,16.711508986222338,-17.77003710772746
327,12.507752710459187,17.39498070177584,-17.48986635788243
328,12.797998948530719,16.767893924992293,-17.52892105897014
329,11.182400207519528,17.310462431014088,-18.80862161211508
330,9.88483244578044,16.823894801911383,-17.709198390452123
331,13.705402374267578,17.841114817258035,-17.42787310513797
332,12.386460224787392,18.323615446336266,-19.446835164938015
333,11.085603256225589,16.934848288531686,-18.427465259759668
334,12.517758668358645,18.263633278165923,-18.212707088520826
335,12.002430683857689,18.76863074495368,-17.66520610576844
336,11.16920097351074,17.31167793088967,-17.30405156706488
337,13.105914524623323,17.629222852813367,-18.045781967930186
338,14.307867902390498,17.447519271749766,-17.76004229994333
339,15.925817445267079,16.64954873144015,-18.316861459100323
340,15.013384911321822,16.289486802287755,-18.783082904168314
341,11.381885960416973,16.676701525014735,-18.610908814310033
342,15.109270886677066,15.895207917064432,-18.02586007738752
343,14.766567885875702,16.86914082522951,-19.549397786314138
